n,shape,OP,OI,residual
2,cube,0.999867980875953,0.01624871745889631,1.3988810110276972e-14
2,xpoly,0.9999985133409072,0.0017243305860234752,-5.662137425588298e-15
2,ellip_3to1,0.9523496606408184,0.30500839968322896,6.217248937900877e-15
2,ellip_2to1,0.9755172867596393,0.21992276651842546,6.217248937900877e-15
2,ellip3to1+smooth0.0,0.9523496606408184,0.30500839968322896,6.217248937900877e-15
2,ellip3to1+smooth0.1,0.9562408761130242,0.2925805647178265,6.439293542825908e-15
2,ellip3to1+smooth0.2,0.9596829188317068,0.28108485427475854,6.439293542825908e-15
2,ellip3to1+smooth0.3,0.9627410551437254,0.2704249632351881,6.661338147750939e-15
2,ellip3to1+smooth0.5,0.9679127908935167,0.2512863490616418,5.773159728050814e-15
2,ellip3to1+jitter0.0,0.9523496606408184,0.30500839968322896,6.217248937900877e-15
2,ellip3to1+jitter0.05,0.952029625820897,0.3060058685047234,7.105427357601002e-15
2,ellip3to1+jitter0.1,0.9511708461209788,0.308664901615828,7.549516567451064e-15
2,ellip3to1+jitter0.2,0.9482156608240776,0.31762723524276815,6.8833827526759706e-15
2,ellip3to1_time,0.0,0.00023508071899414062,0.0
3,cube,0.9947794495928333,0.1020482565641363,2.220446049250313e-16
3,xpoly,0.996030216105027,0.08901577728566804,-1.6653345369377348e-15
3,ellip_3to1,0.9467996153719788,0.32182369137692973,2.220446049250313e-16
3,ellip_2to1,0.9758754051675793,0.21832817864172763,1.1102230246251565e-15
3,ellip3to1+smooth0.0,0.9467996153719788,0.32182369137692973,2.220446049250313e-16
3,ellip3to1+smooth0.1,0.9517903157217741,0.30674940081155166,4.440892098500626e-16
3,ellip3to1+smooth0.2,0.9561210012062631,0.2929720653105595,1.7763568394002505e-15
3,ellip3to1+smooth0.3,0.9599007406965689,0.28034009347608174,0.0
3,ellip3to1+smooth0.5,0.9661424229423966,0.2580093381856465,0.0
3,ellip3to1+jitter0.0,0.9467996153719788,0.32182369137692973,2.220446049250313e-16
3,ellip3to1+jitter0.05,0.9464900052968855,0.3227331248463679,-2.220446049250313e-16
3,ellip3to1+jitter0.1,0.9453847699139074,0.3259564952793995,8.881784197001252e-16
3,ellip3to1+jitter0.2,0.9426922123540977,0.3336635922106845,1.3322676295501878e-15
3,ellip3to1_time,0.0,0.0002598762512207031,0.0
4,cube,0.9954345812222035,0.09544629121645674,2.220446049250313e-16
4,xpoly,0.9919941326976333,0.12628396847371923,8.881784197001252e-16
4,ellip_3to1,0.9478233195691779,0.31879610236147016,8.881784197001252e-16
4,ellip_2to1,0.9784810517289051,0.2063366942826608,4.440892098500626e-16
4,ellip3to1+smooth0.0,0.9478233195691779,0.31879610236147016,8.881784197001252e-16
4,ellip3to1+smooth0.1,0.9531607145175806,0.3024642992161807,0.0
4,ellip3to1+smooth0.2,0.9577281554074533,0.28767478224522547,8.881784197001252e-16
4,ellip3to1+smooth0.3,0.9616642178337467,0.27422970688495735,1.3322676295501878e-15
4,ellip3to1+smooth0.5,0.9680571634800142,0.25072959186149135,1.1102230246251565e-15
4,ellip3to1+jitter0.0,0.9478233195691779,0.31879610236147016,8.881784197001252e-16
4,ellip3to1+jitter0.05,0.9475331441557432,0.31965753663308516,6.661338147750939e-16
4,ellip3to1+jitter0.1,0.9465417516561448,0.32258132675608886,1.5543122344752192e-15
4,ellip3to1+jitter0.2,0.9420838501276617,0.3353774281740521,0.0
