type,rho,OP,OI,sigma,frac_drop
smoothing,0.0,1.0000000000000002,2.3810354587062857e-16,,
smoothing,0.1,0.9999802270591139,0.006288520557598752,,
smoothing,0.2,0.9999298656085077,0.011843304612848216,,
smoothing,0.30000000000000004,0.9998591176822884,0.016785255064997864,,
smoothing,0.4,0.999775038886469,0.021210177263754383,,
smoothing,0.5,0.9996825568243219,0.025194951501988798,,
jitter,,1.0000000000000002,2.3810354587062857e-16,0.0,
jitter,,0.9997903043590266,0.020477971327394862,0.05,
jitter,,0.9992098054433353,0.03974625398566204,0.1,
jitter,,0.9971934104220372,0.07486856624022954,0.2,
partial,,1.0000000000000007,6.562343410544782e-16,,0.0
partial,,1.0000000000000004,4.3128464860822333e-16,,0.25
partial,,1.0,1.6495625474297164e-16,,0.5
partial,,1.0,0.0,,0.75
